profile,asin,brand,title,price,availability,cpu,ram_gb,rom_gb,gpu,gpu_class,has_dgpu,size_inch,resolution,refresh_rate_hz,panel_type,has_usb_c,usb_c_power_delivery_w,detail_url
desktop-pc,B0GRJGH6LH,TITAN GAMING,TITAN GAMING ゲーミングPC デスクトップパソコン GeForce RTX 5060 Ti 8GB Ryzen 7 5700X メモリ16GB NVMe SSD 512GB Windows,183000,LEADTIME,Ryzen 7 5700X,16,512,RTX 5060,dgpu,True,,,,,,,https://www.amazon.co.jp/dp/B0GRJGH6LH?tag=nmsuteado2-22&linkCode=osi&th=1&psc=1
desktop-pc,B0GH7F9QXB,DARUMA,DARUMA-PC デスクトップPC (Ryzen5 5500GT / 16GB メモリ/ 500GB SSD/DVI+ HDMI+ VGA/Windows 11 HOME Wi-Fi Ryzen 5 5500GT,79800,IN_STOCK_SCARCE,Ryzen 5 5500GT,16,500,Integrated,integrated,False,,,,,,,https://www.amazon.co.jp/dp/B0GH7F9QXB?tag=nmsuteado2-22&linkCode=osi&th=1&psc=1
desktop-pc,B0F28KWT5P,ＮＥＷＬＥＡＧＵＥ,"ＮＥＷＬＥＡＧＵＥ NEWLEAGUE デスクトップPC, Core i5 14400搭載, 16GBメモリ, 512GB SSD, Windows11 Pro, WPS Office, WIFI子機無償プレゼント, ス Core i5-14400",99800,IN_STOCK_SCARCE,Core i5-14400,16,512,Integrated,integrated,False,,,,,,,https://www.amazon.co.jp/dp/B0F28KWT5P?tag=nmsuteado2-22&linkCode=osi&th=1&psc=1
desktop-pc,B0F28LRMPW,ＮＥＷＬＥＡＧＵＥ,"ＮＥＷＬＥＡＧＵＥ NEWLEAGUE デスクトップPC, Core i5 14400搭載, 32GBメモリ, 1TB SSD, Win11 pro, WPS Office, WIFI子機無償プレゼント, スリムタワー型 Core i5-14400",129800,IN_STOCK_SCARCE,Core i5-14400,32,1024,Integrated,integrated,False,,,,,,,https://www.amazon.co.jp/dp/B0F28LRMPW?tag=nmsuteado2-22&linkCode=osi&th=1&psc=1
desktop-pc,B0GM62V8K8,DARUMA,DARUMA-PC デスクトップPC Core i5 14400 / 16GB メモリ/ 500GB SSD/HDMI/Windows 11 Pro/MS 2021 Wi-Fi 6 Core i5-14400,99800,IN_STOCK,Core i5-14400,16,500,Integrated,integrated,False,,,,,,,https://www.amazon.co.jp/dp/B0GM62V8K8?tag=nmsuteado2-22&linkCode=osi&th=1&psc=1
desktop-pc,B0F28LNNF5,ＮＥＷＬＥＡＧＵＥ,"ＮＥＷＬＥＡＧＵＥ NEWLEAGUE デスクトップPC, Core i5 14400搭載, 32GBメモリ, 2TB SSD, Win11 pro, WPS Office, WIFI子機無償プレゼント, スリムタワー型 Core i5-14400",149800,IN_STOCK_SCARCE,Core i5-14400,32,2048,Integrated,integrated,False,,,,,,,https://www.amazon.co.jp/dp/B0F28LNNF5?tag=nmsuteado2-22&linkCode=osi&th=1&psc=1
desktop-pc,B0F4PYB64C,Dell,Dell デスクトップパソコン Dell Slim ECS1250 Core i5 14400 メモリ8GB SSD 512GB Windows 11 Home ブラック (2025春モデル) Core i5-14400,144269,IN_STOCK_SCARCE,Core i5-14400,8,512,Integrated,integrated,False,,,,,,,https://www.amazon.co.jp/dp/B0F4PYB64C?tag=nmsuteado2-22&linkCode=osi&th=1&psc=1
desktop-pc,B0D5MFBVSY,DARUMA,DARUMA-PC デスクトップPCCore i5 14400 / メモリ32GB / SSD 1TB M2 NVMe Gen 4/ Windows 11 Pro & Office 2021 / DV Core i5-14400,129800,IN_STOCK,Core i5-14400,32,1024,RTX 4060,dgpu,True,,,,,,,https://www.amazon.co.jp/dp/B0D5MFBVSY?tag=nmsuteado2-22&linkCode=osi&th=1&psc=1
desktop-pc,B0GM677W3F,DARUMA,DARUMA-PC デスクトップPC Core i5 14400 / 16GB メモリ/ 500GB SSD/HDMI/Windows 11 HOME Wi-Fi 6 Bluetooth Core i5-14400,92800,IN_STOCK_SCARCE,Core i5-14400,16,500,Integrated,integrated,False,,,,,,,https://www.amazon.co.jp/dp/B0GM677W3F?tag=nmsuteado2-22&linkCode=osi&th=1&psc=1
desktop-pc,B09RPTMPZ3,ＮＥＷＬＥＡＧＵＥ,ＮＥＷＬＥＡＧＵＥ ゲーミングパソコン Ryzen 5 5600G / メモリ16GB / NVMe SSD 512GB / Windows11Pro / WPS Office ミドルタワー デスクトップパソコン (Ry,95800,IN_STOCK_SCARCE,Ryzen 5 5600G,16,512,Integrated,integrated,False,,,,,,,https://www.amazon.co.jp/dp/B09RPTMPZ3?tag=nmsuteado2-22&linkCode=osi&th=1&psc=1
