profile,asin,brand,title,price,availability,cpu,ram_gb,rom_gb,gpu,gpu_class,has_dgpu,size_inch,resolution,refresh_rate_hz,panel_type,has_usb_c,usb_c_power_delivery_w,detail_url
mini-pc,B0DS2LZMXX,sincoole,Sincoole N100 Mini PC、12th N100 Windows 11 Pro (最大3.4GHz) ミニコンピューター、8GB RAM 128GB SSD、USB3.2、Mini PC,41841,IN_STOCK,N100,8,128,Intel UHD Graphics,integrated,False,,,,,,,https://www.amazon.co.jp/dp/B0DS2LZMXX?tag=nmsuteado2-22&linkCode=osi&th=1&psc=1
mini-pc,B0GGBF6YMK,GMKtec,GMKtec ミニPC G3S 第12世代 Intel N95 Windows11 Pro 搭載 ミニPC｜4コア4スレッド｜最大3.4GHz｜小型PC・超軽量｜WIFI5/BT5.0｜2画面出力・V Core i3-10110U,41099,IN_STOCK,Core i3-10110U,8,512,Intel UHD Graphics,integrated,False,,,,,,,https://www.amazon.co.jp/dp/B0GGBF6YMK?tag=nmsuteado2-22&linkCode=osi&th=1&psc=1
mini-pc,B0GS1MK74D,GMKtec,GMKtec ミニpc G3 Pro 初登場 Win11 Pro mini pc 最大4.1GHz WIFI6 BT5.2 小型 M.2 2242 ミニパソコン 2画面出力 超軽量 高性能 みにpc Core i3-10110U,53238,IN_STOCK,Core i3-10110U,64,8192,Integrated,integrated,False,,,,,,,https://www.amazon.co.jp/dp/B0GS1MK74D?tag=nmsuteado2-22&linkCode=osi&th=1&psc=1
mini-pc,B0GHRGTXNH,Getorli,Getorli ミニPC AMD Ryzen 5300U搭載 -16GB RAM 512GB SSD デュアル2.5G LAN＆WiFi6対応 小型パソコン、3画面出力可能 コンパクトpc オフィス/ N150,46998,IN_STOCK_SCARCE,N150,64,512,Integrated,integrated,False,,,,,,,https://www.amazon.co.jp/dp/B0GHRGTXNH?tag=nmsuteado2-22&linkCode=osi&th=1&psc=1
mini-pc,B0GS9DDK59,GEEKOM,GEEKOM 「初心者·法人にも」GEEKOM ミニpcIntel N95搭載 最大16GB+2TB拡張可能｜6USB·4Kデュアル出力·VESA対応｜静音·省電力｜正規Win11 Pro搭載ミニPC｜在宅/オフィ Core i3-10110U,39998,IN_STOCK,Core i3-10110U,16,2048,Integrated,integrated,False,,,,,,,https://www.amazon.co.jp/dp/B0GS9DDK59?tag=nmsuteado2-22&linkCode=osi&th=1&psc=1
mini-pc,B0C8CL18H3,Beelink,Beelink MINI-S12 Pro Win11ミニPC、Alder Lake-N100 プロセッサー 最大3.40GHz、12GB LPDDR5 RAM 512GB SSD 搭載、 2画面同時出,56900,IN_STOCK,N100,12,512,Integrated,integrated,False,,,,,,,https://www.amazon.co.jp/dp/B0C8CL18H3?tag=nmsuteado2-22&linkCode=osi&th=1&psc=1
mini-pc,B0GP5LB6GD,skynew,Skynew ミニpc インテル N150 12GB LPDDR5 小型 軽量 省電力 512GB Nvme SSD / Windows11Home デスクトップpc 持ち運び Wi-Fi6 品番 M,77000,IN_STOCK_SCARCE,N150,12,512,Integrated,integrated,False,,,,,,,https://www.amazon.co.jp/dp/B0GP5LB6GD?tag=nmsuteado2-22&linkCode=osi&th=1&psc=1
mini-pc,B0BWM1JWSY,Beelink,Beelink 第12世代Intel Alder Lake-N95プロセッサー（最大3.40GHz） Wi-11 ミニコンピューター、MINI-S12、12GB RAM 256GB SSD ビジネスミ,47900,IN_STOCK_SCARCE,N95,12,256,Intel UHD Graphics,integrated,False,,,,,,,https://www.amazon.co.jp/dp/B0BWM1JWSY?tag=nmsuteado2-22&linkCode=osi&th=1&psc=1
mini-pc,B0FNCYLXLM,NiPoGi,NiPoGi AMD Ryzen 4300U mini pc 最大3.7GHz 4C/4T Win11 Pro 16GB+M.2 2280 256GB（4TB換装可）みにPC フル機能Type-C/DP1.4/HD N95,40998,IN_STOCK_SCARCE,N95,64,4096,Integrated,integrated,False,,,,,,,https://www.amazon.co.jp/dp/B0FNCYLXLM?tag=nmsuteado2-22&linkCode=osi&th=1&psc=1
mini-pc,B0DR8RS2PZ,Beelink,Beelink EQ14 ミニPC、Intel Twin Lake N150 ミニゲーミング PC、16GB DDR4 1TB SSD ミニコンピューター (4C/4T、最大 3.6 GHz) WiF,57900,IN_STOCK,N150,16,1024,Integrated,integrated,False,,,,,,,https://www.amazon.co.jp/dp/B0DR8RS2PZ?tag=nmsuteado2-22&linkCode=osi&th=1&psc=1
